SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,No,No,3,No,Yes,Yes,No,Month-to-month,No,Mailed check,107.95,313.6,0
1,No,No,24,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.3,459.95,0
0,No,No,62,Yes,Yes,No,No,One year,Yes,Credit card (automatic),74.3,4698.05,0
0,Yes,Yes,37,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,1
0,No,No,62,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.2,1123.65,0
0,No,No,11,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.5,791.75,1
0,No,No,10,No,Yes,No,Yes,Month-to-month,No,Electronic check,36.25,374.0,0
0,No,No,37,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.9,3545.35,1
1,No,No,72,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.1,1789.9,0
0,No,No,19,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.75,1651.95,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,1
0,Yes,No,23,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,0
1,Yes,No,43,Yes,No,Yes,Yes,One year,Yes,Mailed check,109.55,4830.25,1
0,No,No,46,No,Yes,Yes,No,One year,Yes,Credit card (automatic),94.9,4422.95,0
0,No,Yes,9,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.4,184.1,0
0,Yes,Yes,24,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.7,494.05,0
1,No,No,8,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0
0,Yes,Yes,10,No,No,No,No,Month-to-month,No,Electronic check,85.95,858.6,0
0,Yes,Yes,71,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),70.85,4973.4,0
0,Yes,Yes,5,No,Yes,No,No,Month-to-month,Yes,Electronic check,30.5,167.2,0
1,Yes,No,41,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.75,3273.55,1
0,Yes,Yes,58,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),71.6,4230.25,0
0,No,No,3,No,No,Yes,No,One year,Yes,Electronic check,69.95,220.45,0
0,Yes,Yes,67,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,0
0,No,No,13,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,0
0,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.2,20.2,0
0,Yes,Yes,71,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),100.2,7209.0,0
0,No,No,8,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,438.05,0
0,No,No,28,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),91.25,2483.65,0
0,Yes,No,71,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.85,1672.1,0
0,No,No,67,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),118.35,7804.15,1
0,Yes,Yes,63,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.4,5597.65,0
0,No,No,5,No,No,No,No,Month-to-month,Yes,Electronic check,80.6,415.55,1
0,No,No,37,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),78.9,2976.95,0
0,Yes,No,53,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.8,5809.75,0
0,No,Yes,12,No,No,No,No,Month-to-month,Yes,Electronic check,44.55,480.6,1
0,No,No,70,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.7,1341.5,0
0,No,No,3,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1
0,Yes,No,14,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,82.65,1185.0,0
0,No,No,61,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),43.7,2696.55,0
0,No,No,4,No,No,No,No,Month-to-month,Yes,Electronic check,88.45,370.65,1
0,No,No,1,No,No,No,No,Month-to-month,No,Electronic check,90.6,90.6,1
1,No,No,10,No,No,No,Yes,Month-to-month,Yes,Electronic check,29.65,291.4,1
0,No,Yes,23,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1284.2,0
0,No,Yes,27,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.6,581.85,0
1,Yes,No,72,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),78.45,5682.25,0
0,Yes,Yes,66,No,No,No,Yes,Two year,No,Bank transfer (automatic),50.55,3364.55,0
0,Yes,Yes,35,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.95,3782.4,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,45.3,1
1,No,No,12,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.3,828.05,0
0,No,No,26,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,0
0,No,No,18,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,35.2,607.3,0
0,Yes,No,3,No,Yes,No,No,Month-to-month,No,Credit card (automatic),29.8,94.4,0
0,No,No,67,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,0
0,Yes,Yes,12,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,0
1,Yes,No,32,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.95,2628.6,1
1,No,No,9,No,No,No,No,Month-to-month,Yes,Electronic check,85.05,746.5,1
1,Yes,Yes,52,No,Yes,Yes,No,One year,Yes,Electronic check,80.85,4079.55,0
0,No,No,17,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,337.9,0
1,No,No,70,No,No,No,No,One year,Yes,Electronic check,45.25,3264.45,1
0,No,Yes,14,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.0,1164.05,0
0,Yes,Yes,18,Yes,Yes,No,Yes,One year,Yes,Mailed check,61.5,1087.45,0
0,No,No,46,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.75,2893.4,0
1,Yes,No,13,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.0,1237.85,1
0,No,No,19,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.7,1495.1,0
0,No,No,3,Yes,Yes,No,Yes,Two year,No,Mailed check,71.1,213.35,0
0,Yes,Yes,62,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.65,1218.45,0
1,No,No,38,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,735.9,0
0,No,No,7,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.25,112.3,1
0,No,No,46,No,No,No,No,One year,No,Credit card (automatic),55.65,2688.85,0
0,No,Yes,12,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.3,909.25,1
0,Yes,No,10,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.6,189.45,0
0,No,No,9,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.8,704.3,0
0,No,No,24,Yes,No,No,No,Month-to-month,Yes,Electronic check,51.15,1275.7,0
0,Yes,No,4,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.65,365.4,1
0,No,No,46,Yes,Yes,No,No,Month-to-month,No,Mailed check,84.25,3847.6,0
1,No,No,67,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),92.45,6140.85,0
0,Yes,Yes,14,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),80.45,1137.05,0
0,Yes,Yes,44,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.6,780.25,0
0,No,No,9,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.05,157.65,0
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,81.95,81.95,1
0,Yes,No,57,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.1,20.1,1
1,Yes,No,69,No,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,0
0,Yes,Yes,65,Yes,No,Yes,Yes,Two year,No,Electronic check,109.3,7337.55,0
0,Yes,No,52,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),91.6,4627.8,0
0,No,No,4,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.15,68.45,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.85,18.85,0
0,No,No,1,No,No,No,No,Month-to-month,No,Electronic check,45.75,45.75,1
0,Yes,No,72,Yes,Yes,Yes,No,Two year,Yes,Electronic check,99.15,7422.1,0
0,No,No,53,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,53.6,2879.2,0
0,No,Yes,72,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),67.2,4671.7,0
0,No,No,2,No,No,No,No,Month-to-month,No,Electronic check,69.65,145.15,1
1,No,No,72,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),113.8,7845.8,0
0,Yes,Yes,1,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,1
0,Yes,Yes,67,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.9,1680.25,0
0,No,No,18,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,407.05,0
1,No,No,2,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1
0,No,No,12,No,No,No,Yes,One year,No,Mailed check,74.05,872.65,1
0,No,No,42,No,No,Yes,Yes,Two year,No,Credit card (automatic),66.5,2762.75,0
0,No,Yes,31,No,Yes,No,Yes,One year,Yes,Mailed check,79.45,2587.7,1
0,Yes,No,69,Yes,Yes,No,No,One year,Yes,Credit card (automatic),53.65,3804.4,0
0,Yes,Yes,67,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),84.8,5598.3,0
0,Yes,Yes,51,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.55,1086.75,0
0,No,No,65,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.8,1600.95,0
0,No,No,25,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,541.5,0
0,Yes,No,58,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.1,5885.4,1
1,Yes,No,52,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.45,5481.25,0
1,No,No,37,No,Yes,Yes,No,Month-to-month,No,Electronic check,36.65,1315.0,0
0,No,No,4,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.9,97.5,0
1,No,No,63,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.6,5538.8,0
0,Yes,No,53,No,Yes,No,No,One year,Yes,Bank transfer (automatic),94.25,4867.95,1
0,Yes,Yes,32,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.1,2723.75,0
0,No,No,30,No,No,No,Yes,One year,Yes,Bank transfer (automatic),94.4,2638.1,0
0,Yes,No,11,No,No,No,No,Month-to-month,Yes,Electronic check,94.0,1078.9,1
0,Yes,Yes,69,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),46.25,3121.4,0
0,Yes,Yes,61,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),51.35,3244.4,0
0,No,No,9,No,No,Yes,No,Month-to-month,No,Credit card (automatic),98.3,923.5,1
0,Yes,No,18,No,No,No,Yes,Month-to-month,Yes,Mailed check,50.3,908.75,0
0,Yes,Yes,58,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,1158.85,0
1,No,No,35,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.05,3554.6,0
0,No,Yes,14,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),76.1,1054.8,0
0,Yes,Yes,58,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1191.4,0
0,No,No,9,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,74.65,703.55,1
1,Yes,No,51,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.5,3807.35,1
0,Yes,No,30,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.05,637.55,0
0,No,No,4,No,No,No,No,Month-to-month,No,Credit card (automatic),51.75,201.1,1
1,No,No,14,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.85,1043.8,0
1,Yes,No,23,Yes,No,No,No,Month-to-month,Yes,Electronic check,95.1,2326.05,0
0,No,No,17,No,No,No,No,Month-to-month,Yes,Electronic check,70.8,1207.0,0
0,Yes,No,8,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,393.45,0
0,Yes,No,61,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),75.35,4729.3,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),107.45,7658.3,0
0,No,No,1,No,No,No,Yes,Month-to-month,No,Credit card (automatic),49.0,49.0,0
0,Yes,Yes,20,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,417.65,0
0,Yes,Yes,72,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),85.9,6110.75,0
0,No,No,71,No,Yes,No,No,One year,Yes,Credit card (automatic),79.05,5552.5,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),117.5,8670.1,0
0,No,No,37,No,No,No,No,Month-to-month,Yes,Mailed check,70.35,2552.9,0
0,Yes,Yes,70,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),80.15,5600.15,0
0,Yes,Yes,51,No,No,Yes,No,One year,Yes,Electronic check,90.15,4554.85,0
0,Yes,Yes,28,No,No,No,No,One year,Yes,Bank transfer (automatic),70.4,1992.2,0
0,Yes,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,68.95,1
0,Yes,No,40,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.1,780.1,0
0,No,No,8,No,No,No,Yes,Month-to-month,No,Electronic check,49.4,408.25,0
1,No,No,13,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.3,940.35,1
0,No,No,1,No,No,Yes,Yes,Month-to-month,No,Mailed check,35.9,35.9,0
1,No,No,17,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,330.6,0
0,Yes,No,16,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),94.65,1461.15,0
0,No,No,1,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.75,50.75,0
0,Yes,Yes,22,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.8,1615.1,0
1,No,No,16,No,No,No,No,Month-to-month,Yes,Electronic check,96.15,1529.2,1
0,Yes,Yes,45,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,105.15,4730.9,0
0,Yes,Yes,3,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,200.2,0
0,No,No,15,No,Yes,No,No,Month-to-month,Yes,Electronic check,100.15,1415.0,0
0,Yes,No,25,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1
1,No,No,1,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.0,86.0,1
0,Yes,No,47,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.9,942.95,0
1,Yes,No,5,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.9,343.95,1
0,Yes,No,71,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.8,6046.1,0
0,No,No,3,No,No,No,No,Month-to-month,No,Electronic check,24.75,66.95,1
0,Yes,Yes,1,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,69.8,1
0,Yes,Yes,50,No,No,Yes,Yes,One year,Yes,Electronic check,69.65,3442.15,0
0,No,No,4,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.2,55.7,0
1,No,No,43,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),108.15,4600.7,1
0,No,No,6,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.7,129.55,0
0,No,No,38,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.15,2656.3,0
1,Yes,No,35,No,No,Yes,No,One year,Yes,Bank transfer (automatic),81.6,2815.25,0
0,Yes,No,45,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),81.4,3775.85,0
0,No,No,10,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,251.6,0
0,Yes,No,64,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.0,1584.8,0
0,No,No,31,Yes,Yes,No,No,Month-to-month,No,Electronic check,104.35,3205.6,0
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.9,20.9,0
0,Yes,No,72,No,Yes,Yes,Yes,One year,Yes,Electronic check,109.25,8109.8,1
0,No,No,1,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1
0,No,No,1,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,19.5,0
1,Yes,No,47,Yes,No,No,No,Month-to-month,No,Electronic check,80.35,3825.85,1
1,No,No,71,No,Yes,Yes,No,One year,Yes,Electronic check,105.9,7521.95,0
0,No,Yes,30,No,Yes,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,0
0,Yes,No,71,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.1,6045.9,0
0,No,No,3,No,No,No,No,Month-to-month,Yes,Electronic check,69.85,199.85,0
0,Yes,No,22,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,54.7,1178.75,0
1,No,No,67,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),64.55,4250.1,0
1,Yes,No,59,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,94.05,5483.9,0
1,Yes,No,72,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.05,8404.9,0
0,Yes,Yes,12,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.0,269.65,0
0,No,No,1,No,No,No,No,Month-to-month,No,Mailed check,44.4,44.4,1
0,Yes,Yes,64,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.8,5960.5,0
0,No,No,17,No,No,No,Yes,Month-to-month,No,Mailed check,51.5,900.5,1
0,Yes,Yes,14,Yes,Yes,No,No,Month-to-month,No,Mailed check,69.2,944.65,0
0,Yes,No,44,No,Yes,Yes,Yes,One year,Yes,Electronic check,70.95,3250.45,0
0,Yes,No,58,No,No,No,No,One year,Yes,Credit card (automatic),45.0,2689.35,0
0,No,No,30,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,0
0,No,No,23,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.65,478.1,0
1,No,No,16,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.45,1261.35,0
0,Yes,Yes,13,Yes,No,No,Yes,One year,No,Bank transfer (automatic),54.15,701.05,0
0,No,No,40,No,No,Yes,No,One year,Yes,Mailed check,50.25,2023.55,0
0,Yes,Yes,33,No,No,Yes,Yes,One year,Yes,Electronic check,79.15,2531.4,0
0,No,No,42,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.55,2077.95,0
0,No,No,10,No,No,No,No,Month-to-month,Yes,Mailed check,75.75,777.3,0
0,Yes,Yes,66,No,Yes,Yes,No,One year,Yes,Credit card (automatic),102.45,6615.15,1
0,Yes,No,26,No,No,No,Yes,Month-to-month,No,Credit card (automatic),85.9,2196.45,0
0,Yes,Yes,72,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,115.5,8425.15,0
0,No,No,71,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.9,1355.1,0
0,Yes,Yes,5,No,Yes,No,Yes,Month-to-month,No,Electronic check,34.25,163.55,0
0,No,No,25,Yes,Yes,Yes,No,One year,No,Electronic check,61.05,1540.2,0
1,Yes,No,42,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),105.2,4599.15,0
0,Yes,No,50,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,943.1,0
0,Yes,Yes,71,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),87.25,6328.7,0
0,Yes,Yes,55,No,Yes,No,Yes,Month-to-month,No,Electronic check,79.4,4238.45,0
0,No,No,4,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.15,319.85,0
1,Yes,No,61,No,Yes,No,No,One year,No,Bank transfer (automatic),64.05,3902.6,0
0,Yes,Yes,70,No,Yes,Yes,Yes,One year,Yes,Electronic check,106.15,7475.1,0
0,Yes,Yes,56,Yes,Yes,Yes,Yes,Two year,No,Mailed check,115.85,6567.9,0
0,No,No,8,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.65,820.5,1
0,Yes,Yes,72,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),105.55,7542.25,0
0,Yes,Yes,60,No,Yes,Yes,No,One year,No,Electronic check,90.95,5453.4,1
0,Yes,No,28,Yes,No,No,Yes,One year,No,Mailed check,54.35,1426.45,0
0,Yes,Yes,16,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,84.9,1398.25,0
0,No,No,21,Yes,No,Yes,No,Month-to-month,No,Mailed check,103.85,2215.0,0
1,Yes,No,42,No,No,No,No,Month-to-month,Yes,Electronic check,95.05,3944.5,0
0,Yes,No,3,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,0
1,No,No,9,No,No,No,No,Month-to-month,Yes,Electronic check,74.55,622.9,1
0,Yes,No,59,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.75,6252.9,1
0,Yes,Yes,7,Yes,Yes,Yes,No,Two year,No,Mailed check,38.55,280.0,0
0,Yes,Yes,30,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.25,711.9,0
0,No,No,53,Yes,Yes,Yes,Yes,Two year,No,Mailed check,99.5,5424.25,0
0,No,No,69,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),78.6,5356.45,1
0,Yes,Yes,57,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,1167.6,0
0,Yes,No,62,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.65,1416.75,0
0,Yes,Yes,66,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,75.1,5013.0,0
0,Yes,Yes,34,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.05,3097.0,0
0,No,Yes,1,Yes,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,0
